Date,Close,High,Low,Open,Volume,Log_Returns,Volatility,Daily_Return,SMA_3,EMA_3,RSI_14,MACD,Signal_MACD,Upper_BB,Lower_BB
2019-01-01,3843.52,3850.91,3707.23,3746.71,4324200990,,,,,3843.52,,0.0,0.0,,
2019-01-02,3943.41,3947.98,3817.41,3849.22,5244856836,0.02565721784556736,,0.025989197402381148,,3893.465,,7.968433048433326,1.5936866096866653,,
2019-01-03,3836.74,3935.69,3826.22,3931.05,4530215219,-0.027422783532466136,,-0.02705019259980579,3874.556666666667,3865.1025,,5.611411271012912,2.397231541951915,,
2019-01-04,3857.72,3865.93,3783.85,3832.04,4847965467,0.005453287688159243,,0.005468183926979675,3879.2899999999995,3861.41125,,5.3744123141050295,2.9926676963825383,,
2019-01-05,3845.19,3904.9,3836.9,3851.97,5137609824,-0.0032533188240664677,,-0.003248032516615984,3846.5499999999997,3853.300625,,4.127938347136023,3.2197218265332355,,
2019-01-06,4076.63,4093.3,3826.51,3836.52,5597027440,0.05844765015297064,,0.060189483484561324,3926.513333333333,3964.9653125,,21.56676428928631,6.889130319083851,,
2019-01-07,4025.25,4092.61,4020.89,4078.58,5228625637,-0.012683645971242146,,-0.01260354753804005,3982.3566666666666,3995.10765625,,30.88519755690595,11.688343766648272,,
2019-01-08,4030.85,4109.02,3996.96,4028.47,5306593305,0.0013902510897263866,,0.0013912179367741029,4044.2433333333333,4012.9788281250003,,38.280719945417786,17.006819002402175,,
2019-01-09,4035.3,4068.4,4022.66,4031.55,5115905225,0.001103376567871267,,0.001103985511740735,4030.466666666667,4024.1394140625002,,43.99367087720975,22.404189377363693,,
2019-01-10,3678.92,4064.07,3659.17,4034.41,6874143796,-0.09246141755371093,,-0.08831561470027016,3915.023333333333,3851.52970703125,,19.539103420611355,21.831172186013227,,
2019-01-11,3687.37,3713.88,3653.07,3674.02,5538712865,0.0022942359604070954,,0.002296869733508622,3800.53,3769.449853515625,,0.8309482518166078,17.631127399173902,,
2019-01-12,3661.3,3698.98,3653.81,3686.97,4778170883,-0.0070951912025806595,,-0.0070700797587439634,3675.8633333333332,3715.3749267578123,,-15.915565891847109,10.9217887409697,,
2019-01-13,3552.95,3674.76,3544.93,3658.87,4681302466,-0.03004003127944617,,-0.029593313850271863,3633.873333333333,3634.162463378906,,-37.49798505406943,1.2378339819618738,,
2019-01-14,3706.05,3727.84,3552.29,3557.31,5651384490,0.04218837508216497,,0.043090952588694,3640.1,3670.106231689453,44.20099722430799,-41.76685493838568,-7.363103802107638,,
2019-01-15,3630.68,3720.15,3619.95,3704.22,5537192302,-0.020546660850557962,,-0.020337016500047267,3629.8933333333334,3650.3931158447267,41.55839004965653,-50.64785721312455,-16.02005448431102,,
